Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
875	department nn1		940
876	coffee nn1		939
877	window nn1		937
878	speak vvi		936
879	oxford np0		935
880	settlement nn1		933
881	ball nn1		931
882	over av0		930
883	especially av0		925
884	long av0		925
885	secretary nn1		925
886	club nn1		924
887	places nn2		924
888	society nn1		923
889	colour nn1		920
890	bus nn1		916
891	region nn1		915
892	normal aj0		912
893	north nn1		912
894	term nn1		912
895	thursday np0		911
896	picture nn1		910
897	quickly av0		910
898	near prp		909
899	single aj0		909
900	sorts nn2		909
901	team nn1		909
902	garden nn1		906
903	law nn1		905
904	l zz0		905
905	otherwise av0		904
906	possibly av0		904
907	rate nn1		903
908	officers nn2		902
909	holiday nn1		901
910	likely aj0		901
911	station nn1		901
912	change nn1		900
913	face nn1		900
914	down prp		899
915	michael np0		899
916	peter np0		894
917	run vvi		894
918	experience nn1		892
919	himself pnx		892
920	section nn1		892
921	known vvn		890
922	books nn2		889
923	send vvi		889
924	watch vvi		888
925	worry vvi		885
926	fucking aj0		882
927	aware aj0		881
928	effect nn1		880
929	member nn1		879
930	air nn1		878
931	feet nn2		877
932	hang vvb		875
933	while nn1		875
934	terrible aj0		874
935	written vvn		872
936	groups nn2		871
937	corner nn1		870
938	felt vvd		870
939	found vvn		868
940	down prp-avp		867
941	paying vvg		867
942	minus prp		865
943	computer nn1		863
944	lord nn1		863
945	sell vvi		861
946	tuesday np0		860
947	on av0		858
948	foot nn1		855
949	far aj0-av0		854
950	left vvd		854
951	wait vvi		853
952	about avp		852
953	round avp-prp		851
954	lost vvn		849
955	stupid aj0		849
956	works vvz		847
957	evidence nn1		846
958	miles nn2		844
959	changed vvn		841
960	go nn1		838
961	o unc		836
962	simple aj0		835
963	earlier av0		830
964	per unc		830
965	upon prp		830
966	income nn1		828
967	action nn1		825
968	bet vvb		823
969	ground nn1		822
970	understand vvb		822
971	completely av0		821
972	anywhere av0		820
973	structure nn1		820
974	wall nn1		819
975	football nn1		818
976	heard vvd		818
977	cold aj0		816
978	husband nn1		815
979	involved aj0		814
980	around prp		813
981	officer nn1		813
982	walk vvi		813
983	cars nn2		812
984	low aj0		811
985	apart av0		809
986	television nn1		809
987	boys nn2		808
988	financial aj0		808
989	seem vvi		808
990	y unc		806
991	round prp		805
992	t unc		804
993	language nn1		803
994	richard np0		802
995	straight av0		802
996	totally av0		802
997	after prp-cjs		801
998	planning nn1		801
999	care nn1		799
1000	issues nn2		799
1001	though cjs		799
1002	early aj0		798
1003	hear vvb		798
1004	project nn1		796
1005	bank nn1		795
1006	odd aj0		794
1007	support nn1		793
1008	birthday nn1		792
1009	future nn1		792
1010	strong aj0		792
1011	hall nn1		791
1012	agree vvi		790
1013	music nn1		790
1014	happening vvg		789
1015	industry nn1		788
1016	outside prp		787
1017	britain np0		785
1018	bigger ajc		784
1019	slightly av0		780
1020	course av0		779
1021	opportunity nn1		779
1022	kitchen nn1		777
1023	based vvn		776
1024	happened vvn		776
1025	post nn1		776
1026	site nn1		775
1027	proper aj0		772
1028	sounds vvz		772
1029	bottom nn1		771
1030	yorkshire np0		771
1031	blue aj0		770
1032	university nn1		769
1033	reasons nn2		768
1034	space nn1		768
1035	la unc		767
1036	scheme nn1		767
1037	running vvg		765
1038	well aj0		763
1039	an unc		762
1040	meet vvi		762
1041	use nn1		762
1042	brother nn1		760
1043	we unc		760
1044	work vvb		759
1045	companies nn2		758
1046	long av0-aj0		757
1047	love nn1		757
1048	moving vvg		757
1049	statement nn1		757
1050	brilliant aj0		754
1051	hey itj		754
1052	light nn1		754
1053	listen vvb		752
1054	live vvb		751
